sending_country,receiving_country,provider_name,provider_type,base_fee_percent,fx_margin_percent,min_fee,speed_hours
United States,India,Wise,fintech,0.5,0.3,2.0,24
United States,India,HSBC,bank,0,1,20,48
United States,India,Western Union,money_transfer,1.5,3,5,1
United States,India,Remitly,fintech,0.2,0.8,1.5,4
United Kingdom,Nigeria,Wise,fintech,0.6,0.4,2.5,24
United Kingdom,Nigeria,HSBC,bank,0,1.2,25,72
United Kingdom,Nigeria,WorldRemit,fintech,0.4,0.9,2.0,2
United Kingdom,Kenya,Wise,fintech,0.7,0.5,3.0,24
United States,Mexico,Wise,fintech,0.4,0.2,1.8,12
United States,Mexico,Western Union,money_transfer,2,3.5,6,1
Germany,India,Wise,fintech,0.8,0.35,3.2,24
Germany,India,Deutsche Bank,bank,0.1,1.5,22,48
